id,body,photo_url,star_rating,verified_review,by_shop_owner,user_id,product_id,shop_id,source_id
1,Perfect unusual accessory for a normal day.,barbara_earrings.jpg,4,1,0,3,1,,1
2,Great value for money yoga mat,barbara_yoga_mat.jpg,5,1,0,3,2,,1
3,"Love my new blazer jacket and skirt pants. Accidental match! Inexpensive, comfortable, nice fabric, perfect for spring and autumn.",bobi_blazer.jpg,5,1,0,17,3,,1
4,Very compact; lovely design. It detangles hair more easily and makes it smooth and shiny but doesn't actually reduce hair loss so I don't think it's worth all the hype OR the price.,bobi_hairbrush.jpg,3,1,0,17,4,,1
5,"A great device! The design is simple and elegant. Pretty cheap, only 350 euro with Nvidia GPU and Intel i3 processor, tough only 4GB RAM. Only drawback is the battery 2400mAh, but for that price it's perfect",chavdar_laptop.jpg,5,1,0,7,5,,1
6,"Love my #nexus5, quick, great camera, regular updates. Pitty that Google stopped producing it anymore :(",dani_phone.jpg,5,1,0,1,6,,1
7,Never knew I would like red colours on me ^^,dani_shoes.jpg,5,1,0,1,7,,1
8,"Great casual watch. Pros: Date, Leather Strap, Swiss mechanism (Swatch), Very light; Cons: A bit noisy.",dimi_watch.jpg,4,1,0,6,8,,1
9,This little thing makes the best coffee in the world! Plus it is very fast and easy to use.,iva_kettle.jpg,5,1,0,9,9,,1
10,"This Kindle has served me for almost 3 years. It has battery that lasts literally for weeks or months when I don't have time to read. It saves me from carrying tons of heavy books, it is very compact, lightweight, great value for money!",iva_kindle.jpg,5,1,0,9,10,,1
11,"Stylish flash drive, decent amount of storage, but the transfer speeds :( are extremely low.",ivo_flash.jpg,2,1,0,4,11,,1
12,"Decent WiFi dongle, good range, but transfer speeds could be better, a lot better. All in all it does the job.",ivo_wifi.jpg,3,1,0,4,12,,1
13,This is a gamebook. It's very interesting and exiting. You can entertain everywhere with it. It is also very cheap,katq_book.jpg,5,1,0,5,13,,1
14,"Walking through a forest with Concerning Hobbits playing from your rucksack is priceless. You can also hide it and prank your friends in various ways (noise of breaking glass works well).Bit pricey and heavy, but satisfyingly loud (indoors) considering its 30 cm size. Simple to connect with any bluetooth-equipped phone, charge it with a phone charger. Very decent battery life for most occasions (7h).",peter_speakers.jpg,5,1,0,7,14,,1
15,"It helped me win duels with my pal in Rome. I got two for my 18th birthday but they lasted just 10 minutes, this one unexpectedly hangs on. A fun temporary toy, though you have to be careful not to destroy it immediately. Best used as a goofy costume addition. P.S. security guards (airport, Vatican, museums...) will examine the sword thoroughly. Got stabbed once.",peter_sword.jpg,4,1,0,7,15,,1
16,"Perfect cosy and comfy fluffy outfit for a typical Glasgow day smile emoticon However, it could be warmer..",sabrina_pijamas.jpg,4,1,0,14,16,,1
17,Great for a quick game with your friends. Simple rules make it easy to explain to people who never played before. High quality and style of the board and figures make the experience even better. Not for People who prefer long games with more strategy involved.,tom_game.jpg,4,1,0,2,17,,1
18,"I wanted a pair of good sounding earphones(oh and im picky about those :p). So I bought Betron earphones from Amazon and had to return them. Then I bought those. Super duper positively surprised. That sort of build and sound quality for 25 quid? Probably because they are discontinuing the collection. Anyway. Sound is good on the whole range, bass is a tiny bit bumped but in a good way. Can't say anything bad about them apart from the cable that generates a bit too much noise. Still I totally recommend if you need a pair of good earphones",tom_headphones.jpg,5,1,0,2,18,,1
19,Best headphones I have ever had. Sound quality is amazing on the whole range. Sometimes I was surprised that I could notice a lot of tiny little details I've never heard before in my old music pieces I've listened for years. I rediscovered music again. Other than sounsturbation - perfect for working in an office. They isolate well and don't let the sound out so you won't annoy others around you.,tom_headphones1.jpg,5,1,0,2,19,,1
20,"excellent screen sound system, best on the market performance/price ratio, absolutely badass looks",vasil_laptop.jpg,5,1,0,13,20,,1
