id,platform_order_id,user_id,shop_id,delivery_tracking_number,status,purchase_timestamp,shipment_timestamp,to_deliver_timestamp,delivery_timestamp,to_notify_timestamp,notification_timestamp
1,1,22,3,,STALLED,2014-09-16 15:20:52,,,,,
2,2,23,3,,LEGACY,2014-11-12 14:30:08,2014-11-13 16:32:14,2014-11-18 16:32:14,2014-11-18 16:32:14,2014-11-21 16:32:14,2014-11-21 16:32:14
3,5,24,3,,STALLED,2014-11-13 11:26:25,,,,,
4,6,24,3,,STALLED,2014-11-13 11:36:11,,,,,
5,7,24,3,,STALLED,2014-11-13 11:37:22,,,,,
6,8,24,3,,STALLED,2014-11-13 11:41:44,,,,,
7,9,24,3,,STALLED,2014-11-13 11:43:44,,,,,
8,10,24,3,,STALLED,2014-11-13 11:45:16,,,,,
9,11,24,3,,STALLED,2014-11-13 11:47:03,,,,,
10,12,24,3,,STALLED,2014-11-13 12:21:27,,,,,
11,13,24,3,,STALLED,2014-11-13 12:24:26,,,,,
12,14,24,3,,STALLED,2014-11-13 12:27:39,,,,,
13,15,25,3,,STALLED,2014-11-13 12:37:25,,,,,
14,16,24,3,,STALLED,2014-11-13 13:39:28,,,,,
15,17,24,3,,STALLED,2014-11-13 13:41:21,,,,,
16,18,24,3,,STALLED,2014-11-13 16:25:16,,,,,
17,19,24,3,,STALLED,2014-11-13 16:26:48,,,,,
18,20,25,3,,FAILED,2014-11-13 16:42:04,,,,,
19,21,25,3,,STALLED,2014-11-13 16:43:29,,,,,
20,22,26,3,,STALLED,2014-11-22 23:15:52,,,,,
21,23,27,3,,LEGACY,2014-11-28 21:34:04,2014-11-29 14:56:59,2014-12-04 14:56:59,2014-12-04 14:56:59,2014-12-07 14:56:59,2014-12-07 14:56:59
22,24,28,3,,LEGACY,2014-11-30 16:28:04,2014-12-02 17:33:37,2014-12-07 17:33:37,2014-12-07 17:33:37,2014-12-10 17:33:37,2014-12-10 17:33:37
23,25,29,3,,STALLED,2014-12-03 14:56:05,,,,,
24,26,24,3,,FAILED,2014-12-04 16:46:19,,,,,
25,27,30,3,,STALLED,2014-12-04 20:18:02,,,,,
26,28,31,3,,STALLED,2014-12-05 22:06:31,,,,,
27,29,32,3,,STALLED,2014-12-06 18:10:12,,,,,
28,30,25,3,,FAILED,2014-12-08 10:39:18,,,,,
29,31,33,3,,STALLED,2014-12-08 10:42:00,,,,,
30,32,33,3,,STALLED,2014-12-08 10:56:04,,,,,
31,34,34,3,,STALLED,2014-12-08 15:19:53,,,,,
32,35,35,3,,STALLED,2014-12-08 21:45:51,,,,,
33,37,36,3,,STALLED,2014-12-10 09:17:59,,,,,
34,38,37,3,,STALLED,2014-12-10 13:09:58,,,,,
35,39,38,3,,STALLED,2014-12-12 11:41:49,,,,,
36,40,33,3,,LEGACY,2014-12-15 10:12:03,2014-12-15 10:34:44,2014-12-20 10:34:44,2014-12-20 10:34:44,2014-12-23 10:34:44,2014-12-23 10:34:44
37,41,39,3,,LEGACY,2014-12-15 14:45:41,2014-12-15 16:51:56,2014-12-20 16:51:56,2014-12-20 16:51:56,2014-12-23 16:51:56,2014-12-23 16:51:56
38,42,40,3,,LEGACY,2014-12-17 16:25:37,2014-12-18 12:57:44,2014-12-23 12:57:44,2014-12-23 12:57:44,2014-12-26 12:57:44,2014-12-26 12:57:44
39,43,41,3,,LEGACY,2014-12-19 09:06:37,2014-12-19 12:02:48,2014-12-24 12:02:48,2014-12-24 12:02:48,2014-12-27 12:02:48,2014-12-27 12:02:48
40,44,42,3,,LEGACY,2014-12-20 13:09:02,2014-12-20 14:40:38,2014-12-25 14:40:38,2014-12-25 14:40:38,2014-12-28 14:40:38,2014-12-28 14:40:38
41,45,43,3,,LEGACY,2014-12-20 13:42:23,2014-12-20 14:48:04,2014-12-25 14:48:04,2014-12-25 14:48:04,2014-12-28 14:48:04,2014-12-28 14:48:04
42,46,44,3,,LEGACY,2014-12-22 03:07:01,2014-12-22 14:05:12,2014-12-27 14:05:12,2014-12-27 14:05:12,2014-12-30 14:05:12,2014-12-30 14:05:12
43,47,24,3,,STALLED,2014-12-22 09:40:41,,,,,
44,48,25,3,,STALLED,2015-01-15 15:43:36,,,,,
45,49,45,3,,LEGACY,2015-01-16 11:35:07,2015-01-16 14:00:21,2015-01-21 14:00:21,2015-01-21 14:00:21,2015-01-24 14:00:21,2015-01-24 14:00:21
46,50,46,3,,LEGACY,2015-01-19 20:26:18,2015-01-22 11:05:19,2015-01-27 11:05:19,2015-01-27 11:05:19,2015-01-30 11:05:19,2015-01-30 11:05:19
47,51,25,3,,LEGACY,2015-01-22 11:20:17,2015-01-22 11:22:04,2015-01-27 11:22:04,2015-01-27 11:22:04,2015-01-30 11:22:04,2015-01-30 11:22:04
48,52,25,3,,STALLED,2015-01-23 12:04:35,,,,,
49,53,47,3,,LEGACY,2015-01-28 14:36:40,2015-01-29 11:18:09,2015-02-03 11:18:09,2015-02-03 11:18:09,2015-02-06 11:18:09,2015-02-06 11:18:09
50,54,25,3,,LEGACY,2015-01-29 18:37:25,2015-02-05 14:46:04,2015-02-10 14:46:04,2015-02-10 14:46:04,2015-02-13 14:46:04,2015-02-13 14:46:04
51,55,48,3,,LEGACY,2015-02-13 17:23:39,2015-02-14 13:06:35,2015-02-19 13:06:35,2015-02-19 13:06:35,2015-02-22 13:06:35,2015-02-22 13:06:35
