id,body,image_url,star_rating,verified_review,by_shop_owner,user_id,product_id,shop_id,source_id,source_url,source_user_name,source_user_image_url,youtube_video,approved_by_shop,approval_pending
1,Perfect unusual accessory for a normal day.,https://opinew.com/media/review/barbara_earrings.jpg,4,TRUE,FALSE,4,1,,1,,,,,TRUE,FALSE
2,Great value for money yoga mat,https://opinew.com/media/review/barbara_yoga_mat.jpg,5,TRUE,FALSE,4,2,,1,,,,,TRUE,FALSE
3,"Love my new blazer jacket and skirt pants. Accidental match! Inexpensive, comfortable, nice fabric, perfect for spring and autumn.",https://opinew.com/media/review/bobi_blazer.jpg,5,TRUE,FALSE,18,3,,1,,,,,TRUE,FALSE
4,Very compact; lovely design. It detangles hair more easily and makes it smooth and shiny but doesn't actually reduce hair loss so I don't think it's worth all the hype OR the price.,https://opinew.com/media/review/bobi_hairbrush.jpg,3,TRUE,FALSE,18,4,,1,,,,,TRUE,FALSE
5,"A great device! The design is simple and elegant. Pretty cheap, only 350 euro with Nvidia GPU and Intel i3 processor, tough only 4GB RAM. Only drawback is the battery 2400mAh, but for that price it's perfect",https://opinew.com/media/review/chavdar_laptop.jpg,5,TRUE,FALSE,8,5,,1,,,,,TRUE,FALSE
6,"Love my #nexus5, quick, great camera, regular updates. Pitty that Google stopped producing it anymore :(",https://opinew.com/media/review/dani_phone.jpg,5,TRUE,FALSE,1,6,,1,,,,,TRUE,FALSE
7,Never knew I would like red colours on me ^^,https://opinew.com/media/review/dani_shoes.jpg,5,TRUE,FALSE,1,7,,1,,,,,TRUE,FALSE
8,"Great casual watch. Pros: Date, Leather Strap, Swiss mechanism (Swatch), Very light; Cons: A bit noisy.",https://opinew.com/media/review/dimi_watch.jpg,4,TRUE,FALSE,7,8,,1,,,,,TRUE,FALSE
9,This little thing makes the best coffee in the world! Plus it is very fast and easy to use.,https://opinew.com/media/review/iva_kettle.jpg,5,TRUE,FALSE,10,9,,1,,,,,TRUE,FALSE
10,"This Kindle has served me for almost 3 years. It has battery that lasts literally for weeks or months when I don't have time to read. It saves me from carrying tons of heavy books, it is very compact, lightweight, great value for money!",https://opinew.com/media/review/iva_kindle.jpg,5,TRUE,FALSE,10,10,,1,,,,,TRUE,FALSE
11,"Stylish flash drive, decent amount of storage, but the transfer speeds :( are extremely low.",https://opinew.com/media/review/ivo_flash.jpg,2,TRUE,FALSE,5,11,,1,,,,,TRUE,FALSE
12,"Decent WiFi dongle, good range, but transfer speeds could be better, a lot better. All in all it does the job.",https://opinew.com/media/review/ivo_wifi.jpg,3,TRUE,FALSE,5,12,,1,,,,,TRUE,FALSE
13,This is a gamebook. It's very interesting and exiting. You can entertain everywhere with it. It is also very cheap,https://opinew.com/media/review/katq_book.jpg,5,TRUE,FALSE,6,13,,1,,,,,TRUE,FALSE
14,"Walking through a forest with Concerning Hobbits playing from your rucksack is priceless. You can also hide it and prank your friends in various ways (noise of breaking glass works well).Bit pricey and heavy, but satisfyingly loud (indoors) considering its 30 cm size. Simple to connect with any bluetooth-equipped phone, charge it with a phone charger. Very decent battery life for most occasions (7h).",https://opinew.com/media/review/peter_speakers.jpg,5,TRUE,FALSE,8,14,,1,,,,,TRUE,FALSE
